1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
350	1.174357	280.350000	0.010438	0.001991	51.2
351	1.174357	281.350000	0.010403	0.001037	50.8
352	1.174357	282.350000	0.010369	0.000686	49.5
353	1.174357	282.340000	0.010369	0.001658	48.8
354	1.174357	283.340000	0.010335	0.001299	81.8
355	1.174357	284.340000	0.010301	0.000679	49.9
356	1.174357	284.330000	0.010301	0.001983	50.4
357	1.174357	285.330000	0.010268	0.001023	49.4
358	1.174357	286.330000	0.010234	0.000673	55.1
359	1.174357	286.320000	0.010235	0.001649	51.1
360	1.174357	287.320000	0.010202	0.001297	49.1
361	1.174357	288.320000	0.010169	0.000675	51.5
362	1.174357	288.310000	0.010169	0.002483	48.7
363	1.174357	289.310000	0.010136	0.000750	51.5
364	1.174357	290.310000	0.010104	0.000707	49.4
365	1.174357	290.300000	0.010104	0.000891	47.9
366	1.174357	290.290000	0.010104	0.001697	51.7
367	1.174357	291.290000	0.010072	0.000700	54.9
368	1.174357	292.290000	0.010040	0.000664	52.3
369	1.174357	292.280000	0.010040	0.002110	50.0
370	1.174357	293.280000	0.010008	0.001308	49.6
371	1.174357	294.280000	0.009976	0.000911	49.1
372	1.174357	294.270000	0.009977	0.001675	51.1
373	1.174357	295.270000	0.009945	0.000706	49.4
374	1.174357	296.270000	0.009914	0.001641	50.5
375	1.174357	296.260000	0.009914	0.002106	49.2
376	1.174357	297.260000	0.009883	0.001546	50.4
377	1.174357	298.260000	0.009852	0.000897	48.0
378	1.174357	298.250000	0.009852	0.001686	50.8
379	1.174357	299.250000	0.009822	0.000709	49.4
380	1.174357	300.250000	0.009791	0.000674	57.1
381	1.174357	300.240000	0.009791	0.002102	60.2
382	1.174357	301.240000	0.009761	0.001542	51.1
383	1.174357	302.240000	0.009731	0.000668	49.8
384	1.174357	302.230000	0.009731	0.001654	49.3
385	1.174357	303.230000	0.009701	0.001288	51.6
386	1.174357	304.230000	0.009671	0.000652	48.0
387	1.174357	304.220000	0.009671	0.002487	48.9
388	1.174357	305.220000	0.009642	0.000737	51.8
389	1.174357	306.220000	0.009612	0.000698	50.2
390	1.174357	306.210000	0.009613	0.000886	49.2
391	1.174357	306.200000	0.009613	0.001697	82.7
392	1.174357	307.200000	0.009584	0.000694	49.4
393	1.174357	308.200000	0.009555	0.001005	48.9
394	1.174357	308.190000	0.009555	0.001675	50.5
395	1.174357	309.190000	0.009526	0.000720	49.5
396	1.174357	310.190000	0.009497	0.000682	50.2
397	1.174357	310.180000	0.009497	0.000882	50.4
398	1.174357	310.170000	0.009498	0.001685	48.9
399	1.174357	311.170000	0.009469	0.000686	50.2
400	1.174357	312.170000	0.009441	0.001811	51.1
401	1.174357	312.160000	0.009441	0.001675	49.6
402	1.174357	313.160000	0.009413	0.000732	49.9
403	1.174357	314.160000	0.009385	0.000693	50.0
404	1.174357	314.150000	0.009385	0.000890	50.7
405	1.174357	314.140000	0.009385	0.001688	50.9
406	1.174357	315.140000	0.009357	0.000691	48.5
407	1.174357	316.140000	0.009330	0.001023	48.1
408	1.174357	316.130000	0.009330	0.001664	52.4
409	1.174357	317.130000	0.009302	0.000716	50.1
410	1.174357	318.130000	0.009275	0.000681	50.7
411	1.174357	318.120000	0.009275	0.000650	48.7
